Cage,Veg_Treatment,Pred_Treatment,Hour,Minute,Time,Animal,Width,Height,Perch,Beh,Observer
MP4,Mixed,Predator,7,30,7.5,MEFE,0,10.5,Mesh,Sitting,JDM
MP4,Mixed,Predator,8,0,8,MEFE,0,10.5,Mesh,Sitting,JDM
MP4,Mixed,Predator,8,30,8.5,MEFE,3.5,14.5,Artemisia,Sitting,JDM
MP4,Mixed,Predator,9,0,9,MEFE,3.5,14.5,Artemisia,Sitting,JDM
MP4,Mixed,Predator,9,30,9.5,MEFE,3.5,14.5,Artemisia,Sitting,JDM
MP4,Mixed,Predator,10,0,10,MEFE,2,12,Grass,Sitting,JDM
MP4,Mixed,Predator,10,30,10.5,MEFE,2,12,Grass,Sitting,JDM
MP4,Mixed,Predator,11,0,11,MEFE,2,12,Grass,Sitting,JDM
MP4,Mixed,Predator,11,30,11.5,MEFE,2,12,Grass,Sitting,JDM
MP4,Mixed,Predator,12,0,12,MEFE,2.5,12,Artemisia,Sitting,JDM
MP4,Mixed,Predator,12,30,12.5,MEFE,2,12,Artemisia,Sitting,JDM
MP4,Mixed,Predator,13,0,13,MEFE,2,12,Artemisia,Sitting,JDM
MP4,Mixed,Predator,13,30,13.5,MEFE,2.5,18,Grass,Sitting,JDM
MP4,Mixed,Predator,14,0,14,MEFE,6,20,Artemisia,Sitting,JDM
MP4,Mixed,Predator,14,30,14.5,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,15,0,15,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,15,30,15.5,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,16,0,16,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,16,30,16.5,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,17,0,17,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,17,30,17.5,MEFE,6,21,Artemisia,Sitting,JDM
MP4,Mixed,Predator,18,0,18,MEFE,6,20,Artemisia,Sitting,JDM
MP4,Mixed,Predator,18,30,18.5,MEFE,4,22,Artemisia,Sitting,JDM
MP4,Mixed,Predator,19,0,19,MEFE,4,22,Artemisia,Sitting,JDM
MP4,Mixed,Predator,7,30,7.5,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,8,0,8,MEFE,7.5,2.5,Grass,Sitting,JDM
MP4,Mixed,Predator,8,30,8.5,MEFE,3.25,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,9,0,9,MEFE,3.5,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,9,30,9.5,MEFE,3.5,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,10,0,10,MEFE,3.5,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,10,30,10.5,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,11,0,11,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,11,30,11.5,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,12,0,12,MEFE,3.5,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,12,30,12.5,MEFE,3.5,3,Artemisia,Sitting,JDM
MP4,Mixed,Predator,13,0,13,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,13,30,13.5,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,14,0,14,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,14,30,14.5,MEFE,4,4,Artemisia,Sitting,JDM
MP4,Mixed,Predator,15,0,15,MEFE,6,3.5,Artemisia,Sitting,JDM
MP4,Mixed,Predator,15,30,15.5,MEFE,8,3,Grass,Sitting,JDM
MP4,Mixed,Predator,16,0,16,MEFE,8,3,Grass,Sitting,JDM
MP4,Mixed,Predator,16,30,16.5,MEFE,8,2,Grass,Sitting,JDM
MP4,Mixed,Predator,17,0,17,MEFE,8,3,Grass,Sitting,JDM
MP4,Mixed,Predator,17,30,17.5,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,18,0,18,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,18,30,18.5,MEFE,11.5,11,Mesh,Sitting,JDM
MP4,Mixed,Predator,19,0,19,MEFE,13,8.5,Mesh,Sitting,JDM
MP4,Mixed,Predator,7,30,7.5,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,8,0,8,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,8,30,8.5,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,9,0,9,MEFE,8.5,3,Grass,Sitting,JDM
MP4,Mixed,Predator,9,30,9.5,MEFE,8.5,3,Grass,Sitting,JDM
MP4,Mixed,Predator,10,0,10,MEFE,13.5,10,Solidago,Sitting,JDM
MP4,Mixed,Predator,10,30,10.5,MEFE,13.5,10,Solidago,Sitting,JDM
MP4,Mixed,Predator,11,0,11,MEFE,13.5,10,Solidago,Sitting,JDM
MP4,Mixed,Predator,11,30,11.5,MEFE,13.5,10,Solidago,Sitting,JDM
MP4,Mixed,Predator,12,0,12,MEFE,13.5,10,Solidago,Sitting,JDM
MP4,Mixed,Predator,12,30,12.5,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,13,0,13,MEFE,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,13,30,13.5,MEFE,14.5,0,Soil,Sitting,JDM
MP4,Mixed,Predator,14,0,14,MEFE,14.5,5,Mesh,Sitting,JDM
MP4,Mixed,Predator,14,30,14.5,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,15,0,15,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,15,30,15.5,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,16,0,16,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,16,30,16.5,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,17,0,17,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,17,30,17.5,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,18,0,18,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,18,30,18.5,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,19,0,19,MEFE,14,10,Mesh,Sitting,JDM
MP4,Mixed,Predator,7,30,7.5,PIMI,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,8,0,8,PIMI,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,8,30,8.5,PIMI,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,9,0,9,PIMI,NA,NA,NA,NA,JDM
MP4,Mixed,Predator,9,30,9.5,PIMI,NA,NA,NA,NA,JDM
