ID,Type,Date,Measurement,Mass,Notes
S19,Solidago,20-Jul-20,1,0.016,
G12,Grass,20-Jul-20,1,0.017,
G21,Grass,20-Jul-20,1,0.018,
S1,Solidago,20-Jul-20,1,0.023,
A18,Artemisia,20-Jul-20,1,0.023,
S9,Solidago,20-Jul-20,1,0.026,
S20,Solidago,20-Jul-20,1,0.026,
G10,Grass,20-Jul-20,1,0.026,
S5,Solidago,20-Jul-20,1,0.027,
S17,Solidago,20-Jul-20,1,0.027,
A4,Artemisia,20-Jul-20,1,0.029,
G5,Grass,20-Jul-20,1,0.03,
S15,Solidago,20-Jul-20,1,0.031,
A6,Artemisia,20-Jul-20,1,0.031,
G23,Grass,20-Jul-20,1,0.031,
A9,Artemisia,20-Jul-20,1,0.032,
G11,Grass,20-Jul-20,1,0.032,
A11,Artemisia,20-Jul-20,1,0.033,
S28,Solidago,20-Jul-20,1,0.034,
A12,Artemisia,20-Jul-20,1,0.034,
A15,Artemisia,20-Jul-20,1,0.034,
S14,Solidago,20-Jul-20,1,0.035,
G27,Grass,20-Jul-20,1,0.036,
G14,Grass,20-Jul-20,1,0.037,
A22,Artemisia,20-Jul-20,1,0.038,
A28,Artemisia,20-Jul-20,1,0.038,
A7,Artemisia,20-Jul-20,1,0.039,
G19,Grass,20-Jul-20,1,0.04,
A8,Artemisia,20-Jul-20,1,0.041,
A20,Artemisia,20-Jul-20,1,0.041,
A26,Artemisia,20-Jul-20,1,0.041,
A30,Artemisia,20-Jul-20,1,0.041,
S27,Solidago,20-Jul-20,1,0.042,
G2,Grass,20-Jul-20,1,0.042,
G17,Grass,20-Jul-20,1,0.042,
S24,Solidago,20-Jul-20,1,0.043,
S11,Solidago,20-Jul-20,1,0.046,
A2,Artemisia,20-Jul-20,1,0.047,
S29,Solidago,20-Jul-20,1,0.049,
A14,Artemisia,20-Jul-20,1,0.049,
A21,Artemisia,20-Jul-20,1,0.049,
A29,Artemisia,20-Jul-20,1,0.049,
A17,Artemisia,20-Jul-20,1,0.05,
G1,Grass,20-Jul-20,1,0.05,
S8,Solidago,20-Jul-20,1,0.052,
S3,Solidago,20-Jul-20,1,0.053,
A25,Artemisia,20-Jul-20,1,0.053,
A1,Artemisia,20-Jul-20,1,0.054,
A10,Artemisia,20-Jul-20,1,0.054,
S21,Solidago,20-Jul-20,1,0.056,
S2,Solidago,20-Jul-20,1,0.057,
A23,Artemisia,20-Jul-20,1,0.057,
G3,Grass,20-Jul-20,1,0.057,
A27,Artemisia,20-Jul-20,1,0.058,
G7,Grass,20-Jul-20,1,0.058,
G26,Grass,20-Jul-20,1,0.058,
S26,Solidago,20-Jul-20,1,0.059,
G29,Grass,20-Jul-20,1,0.059,
S13,Solidago,20-Jul-20,1,0.06,
S18,Solidago,20-Jul-20,1,0.061,
S23,Solidago,20-Jul-20,1,0.065,
G28,Grass,20-Jul-20,1,0.066,
G18,Grass,20-Jul-20,1,0.068,
S30,Solidago,20-Jul-20,1,0.071,
A3,Artemisia,20-Jul-20,1,0.073,
S4,Solidago,20-Jul-20,1,0.076,
A24,Artemisia,20-Jul-20,1,0.076,
G16,Grass,20-Jul-20,1,0.077,
G4,Grass,20-Jul-20,1,0.078,
G30,Grass,20-Jul-20,1,0.079,
G24,Grass,20-Jul-20,1,0.08,
S6,Solidago,20-Jul-20,1,0.082,
G13,Grass,20-Jul-20,1,0.084,
G6,Grass,20-Jul-20,1,0.087,
S10,Solidago,20-Jul-20,1,0.089,
A16,Artemisia,20-Jul-20,1,0.089,
G25,Grass,20-Jul-20,1,0.089,
G8,Grass,20-Jul-20,1,0.096,
S16,Solidago,20-Jul-20,1,0.097,
S25,Solidago,20-Jul-20,1,0.1,
A5,Artemisia,20-Jul-20,1,0.105,
G9,Grass,20-Jul-20,1,0.109,
S7,Solidago,20-Jul-20,1,0.112,
A19,Artemisia,20-Jul-20,1,0.115,
A13,Artemisia,20-Jul-20,1,0.119,
G20,Grass,20-Jul-20,1,0.129,
S12,Solidago,20-Jul-20,1,0.13,
S22,Solidago,20-Jul-20,1,0.135,
G15,Grass,20-Jul-20,1,0.138,
G22,Grass,20-Jul-20,1,0.143,
G12,Grass,23-Jul-20,2,0.013,
G21,Grass,23-Jul-20,2,0.017,
S1,Solidago,23-Jul-20,2,0.025,
A4,Artemisia,23-Jul-20,2,0.027,Molt
G10,Grass,23-Jul-20,2,0.027,Molt
S20,Solidago,23-Jul-20,2,0.028,
S19,Solidago,23-Jul-20,2,0.03,
G5,Grass,23-Jul-20,2,0.03,
A18,Artemisia,23-Jul-20,2,0.031,
G23,Grass,23-Jul-20,2,0.032,Molt
S17,Solidago,23-Jul-20,2,0.033,
G11,Grass,23-Jul-20,2,0.034,Molt
S9,Solidago,23-Jul-20,2,0.035,
G19,Grass,23-Jul-20,2,0.036,Molt
A9,Artemisia,23-Jul-20,2,0.037,Molt
S5,Solidago,23-Jul-20,2,0.038,Molt
S14,Solidago,23-Jul-20,2,0.041,Molt
G17,Grass,23-Jul-20,2,0.041,Molt
S15,Solidago,23-Jul-20,2,0.043,
A11,Artemisia,23-Jul-20,2,0.043,
A6,Artemisia,23-Jul-20,2,0.043,
G14,Grass,23-Jul-20,2,0.043,
G27,Grass,23-Jul-20,2,0.043,
S28,Solidago,23-Jul-20,2,0.045,
S27,Solidago,23-Jul-20,2,0.045,Molt
A15,Artemisia,23-Jul-20,2,0.046,
A12,Artemisia,23-Jul-20,2,0.047,
A30,Artemisia,23-Jul-20,2,0.047,
A7,Artemisia,23-Jul-20,2,0.048,
A28,Artemisia,23-Jul-20,2,0.048,
A26,Artemisia,23-Jul-20,2,0.048,Molt
A21,Artemisia,23-Jul-20,2,0.051,Molt
A29,Artemisia,23-Jul-20,2,0.052,Molt
A22,Artemisia,23-Jul-20,2,0.053,
A20,Artemisia,23-Jul-20,2,0.053,
S8,Solidago,23-Jul-20,2,0.054,
S24,Solidago,23-Jul-20,2,0.055,
A10,Artemisia,23-Jul-20,2,0.055,
G2,Grass,23-Jul-20,2,0.056,
G1,Grass,23-Jul-20,2,0.057,Molt
A17,Artemisia,23-Jul-20,2,0.059,
G26,Grass,23-Jul-20,2,0.059,Molt
G3,Grass,23-Jul-20,2,0.059,
S29,Solidago,23-Jul-20,2,0.06,
S21,Solidago,23-Jul-20,2,0.06,Molt
G29,Grass,23-Jul-20,2,0.06,Molt
S3,Solidago,23-Jul-20,2,0.062,Molt
S11,Solidago,23-Jul-20,2,0.062,
A8,Artemisia,23-Jul-20,2,0.063,
A1,Artemisia,23-Jul-20,2,0.066,
A27,Artemisia,23-Jul-20,2,0.067,Molt
S26,Solidago,23-Jul-20,2,0.068,Molt
A2,Artemisia,23-Jul-20,2,0.07,
G18,Grass,23-Jul-20,2,0.073,Molt
G7,Grass,23-Jul-20,2,0.074,
A23,Artemisia,23-Jul-20,2,0.075,
G16,Grass,23-Jul-20,2,0.075,
A25,Artemisia,23-Jul-20,2,0.079,
A14,Artemisia,23-Jul-20,2,0.079,
S18,Solidago,23-Jul-20,2,0.081,Molt
S2,Solidago,23-Jul-20,2,0.084,
G28,Grass,23-Jul-20,2,0.084,
S23,Solidago,23-Jul-20,2,0.085,
S6,Solidago,23-Jul-20,2,0.087,Molt
S16,Solidago,23-Jul-20,2,0.088,
A16,Artemisia,23-Jul-20,2,0.091,
S13,Solidago,23-Jul-20,2,0.092,
S30,Solidago,23-Jul-20,2,0.094,
G13,Grass,23-Jul-20,2,0.095,Molt
G24,Grass,23-Jul-20,2,0.097,
G6,Grass,23-Jul-20,2,0.098,
A3,Artemisia,23-Jul-20,2,0.099,
S4,Solidago,23-Jul-20,2,0.106,
G4,Grass,23-Jul-20,2,0.106,
G30,Grass,23-Jul-20,2,0.107,
A24,Artemisia,23-Jul-20,2,0.109,
G25,Grass,23-Jul-20,2,0.118,
A19,Artemisia,23-Jul-20,2,0.122,
S10,Solidago,23-Jul-20,2,0.123,
G8,Grass,23-Jul-20,2,0.126,
S25,Solidago,23-Jul-20,2,0.136,
G20,Grass,23-Jul-20,2,0.141,
S12,Solidago,23-Jul-20,2,0.143,Molt
A13,Artemisia,23-Jul-20,2,0.151,Molt
S7,Solidago,23-Jul-20,2,0.152,
G22,Grass,23-Jul-20,2,0.172,
S22,Solidago,23-Jul-20,2,0.191,
G15,Grass,23-Jul-20,2,0.202,
A5,Artemisia,23-Jul-20,2,NA,Dead
G9,Grass,23-Jul-20,2,NA,Dead
G12,Grass,25-Jul-20,3,0.017,
G21,Grass,25-Jul-20,3,0.018,
S20,Solidago,25-Jul-20,3,0.025,
S1,Solidago,25-Jul-20,3,0.027,
G10,Grass,25-Jul-20,3,0.033,
G5,Grass,25-Jul-20,3,0.035,
S19,Solidago,25-Jul-20,3,0.035,
G23,Grass,25-Jul-20,3,0.037,
S17,Solidago,25-Jul-20,3,0.037,
A18,Artemisia,25-Jul-20,3,0.039,
S9,Solidago,25-Jul-20,3,0.041,
G11,Grass,25-Jul-20,3,0.042,
A4,Artemisia,25-Jul-20,3,0.043,
A30,Artemisia,25-Jul-20,3,0.045,
S5,Solidago,25-Jul-20,3,0.045,
A9,Artemisia,25-Jul-20,3,0.047,
S28,Solidago,25-Jul-20,3,0.047,
A11,Artemisia,25-Jul-20,3,0.048,
A15,Artemisia,25-Jul-20,3,0.048,
S15,Solidago,25-Jul-20,3,0.048,
G27,Grass,25-Jul-20,3,0.05,
S14,Solidago,25-Jul-20,3,0.05,
G14,Grass,25-Jul-20,3,0.052,
A6,Artemisia,25-Jul-20,3,0.052,
A12,Artemisia,25-Jul-20,3,0.054,
G17,Grass,25-Jul-20,3,0.056,
A20,Artemisia,25-Jul-20,3,0.057,
A7,Artemisia,25-Jul-20,3,0.057,
S27,Solidago,25-Jul-20,3,0.057,
A28,Artemisia,25-Jul-20,3,0.058,
A22,Artemisia,25-Jul-20,3,0.06,
S29,Solidago,25-Jul-20,3,0.062,Molt
A17,Artemisia,25-Jul-20,3,0.063,
G3,Grass,25-Jul-20,3,0.065,
G29,Grass,25-Jul-20,3,0.066,
A26,Artemisia,25-Jul-20,3,0.066,
S11,Solidago,25-Jul-20,3,0.066,
A21,Artemisia,25-Jul-20,3,0.067,
A29,Artemisia,25-Jul-20,3,0.067,
A8,Artemisia,25-Jul-20,3,0.068,
S24,Solidago,25-Jul-20,3,0.068,Molt
G1,Grass,25-Jul-20,3,0.069,
A2,Artemisia,25-Jul-20,3,0.072,
G26,Grass,25-Jul-20,3,0.073,
S23,Solidago,25-Jul-20,3,0.073,
S3,Solidago,25-Jul-20,3,0.073,
A1,Artemisia,25-Jul-20,3,0.075,Molt
S26,Solidago,25-Jul-20,3,0.077,
S13,Solidago,25-Jul-20,3,0.078,
S8,Solidago,25-Jul-20,3,0.079,
G16,Grass,25-Jul-20,3,0.081,
S21,Solidago,25-Jul-20,3,0.081,
G7,Grass,25-Jul-20,3,0.083,
A23,Artemisia,25-Jul-20,3,0.085,
A25,Artemisia,25-Jul-20,3,0.085,
A14,Artemisia,25-Jul-20,3,0.089,
G18,Grass,25-Jul-20,3,0.09,
A27,Artemisia,25-Jul-20,3,0.092,
S18,Solidago,25-Jul-20,3,0.093,
S2,Solidago,25-Jul-20,3,0.095,
G28,Grass,25-Jul-20,3,0.099,
S4,Solidago,25-Jul-20,3,0.104,
G24,Grass,25-Jul-20,3,0.108,
G13,Grass,25-Jul-20,3,0.108,
S6,Solidago,25-Jul-20,3,0.111,
S30,Solidago,25-Jul-20,3,0.112,
A16,Artemisia,25-Jul-20,3,0.115,Molt
A24,Artemisia,25-Jul-20,3,0.116,
G8,Grass,25-Jul-20,3,0.117,Molt
G2,Grass,25-Jul-20,3,0.119,Molt
G30,Grass,25-Jul-20,3,0.119,
G6,Grass,25-Jul-20,3,0.123,
A3,Artemisia,25-Jul-20,3,0.124,
G25,Grass,25-Jul-20,3,0.125,
G4,Grass,25-Jul-20,3,0.131,
S10,Solidago,25-Jul-20,3,0.131,
S25,Solidago,25-Jul-20,3,0.143,
A19,Artemisia,25-Jul-20,3,0.147,Molt
G20,Grass,25-Jul-20,3,0.159,
S7,Solidago,25-Jul-20,3,0.169,
A13,Artemisia,25-Jul-20,3,0.171,
S12,Solidago,25-Jul-20,3,0.174,
S22,Solidago,25-Jul-20,3,0.19,
G22,Grass,25-Jul-20,3,0.198,
G15,Grass,25-Jul-20,3,0.229,
G19,Grass,25-Jul-20,3,NA,Dead
S16,Solidago,25-Jul-20,3,NA,Dead
A10,Artemisia,25-Jul-20,3,NA,Escape
G12,Grass,27-Jul-20,4,0.015,
G21,Grass,27-Jul-20,4,0.024,
S20,Solidago,27-Jul-20,4,0.026,Molt
S19,Solidago,27-Jul-20,4,0.032,
G5,Grass,27-Jul-20,4,0.032,
S1,Solidago,27-Jul-20,4,0.033,
G10,Grass,27-Jul-20,4,0.038,
G11,Grass,27-Jul-20,4,0.042,
