Cage_ID,Veg_Type,Pred_Type,Julian_Date,Grasshopper_Count,Spider_Found,Notes
AH1,Artemisia,Herbivore,20191,0,NA,"2 found dead, wedged"
AH2,Artemisia,Herbivore,20191,2,NA,"Hole found, patched"
AH3,Artemisia,Herbivore,20191,1,NA,"For 9-Jul-2020, I set a 5 min timer for looking in each cage. Restock happened Jul-10-2020"
AH4,Artemisia,Herbivore,20191,3,NA,
AH5,Artemisia,Herbivore,20191,1,NA,
AH6,Artemisia,Herbivore,20191,1,NA,"1 found dead, wedged. Hole found, patched"
AH7,Artemisia,Herbivore,20191,1,NA,"found 1 dead, wedged"
AP1,Artemisia,Predator,20191,2,0,1 might be MEBI. Saw a MEFE eating mugwort. Got a video. 
AP2,Artemisia,Predator,20191,1,0,patched holes
AP3,Artemisia,Predator,20191,1,0,"1 found dead, wedged"
AP4,Artemisia,Predator,20191,1,0,
AP5,Artemisia,Predator,20191,1,0,"patched holes, assassin bugs that I can't remove"
AP6,Artemisia,Predator,20191,1,0,"Found, pulled out a huntsman"
AP7,Artemisia,Predator,20191,1,0,"Hole found, patched"
MH1,Mixed,Herbivore,20191,0,NA,"Found, Pulled out wolf spider "
MH2,Mixed,Herbivore,20191,0,NA,Lots of large holes found
MH3,Mixed,Herbivore,20191,2,NA,
MH4,Mixed,Herbivore,20191,1,NA,"1 found dead, wedged"
MH5,Mixed,Herbivore,20191,0,NA,"Found, pulled out a wolf spider"
MH6,Mixed,Herbivore,20191,2,NA,"1 found dead, wedged"
MH7,Mixed,Herbivore,20191,2,NA,1 might be wrong species 
MP1,Mixed,Predator,20191,1,0,"patched holes, found 1 dead wedged"
MP2,Mixed,Predator,20191,2,1,
MP3,Mixed,Predator,20191,1,0,
MP4,Mixed,Predator,20191,1,1,
MP5,Mixed,Predator,20191,1,0,Patched hole
MP6,Mixed,Predator,20191,0,0,patched holes
MP7,Mixed,Predator,20191,2,0,Solidago stems looks rough
SH1,Solidago,Herbivore,20191,1,NA,patched holes
SH2,Solidago,Herbivore,20191,1,NA,
SH3,Solidago,Herbivore,20191,0,NA,"2 found dead, wedged between mesh and post"
SH4,Solidago,Herbivore,20191,0,NA,patched hole
SH5,Solidago,Herbivore,20191,1,NA,"found 1 dead, wedged"
SH6,Solidago,Herbivore,20191,3,NA,
SH7,Solidago,Herbivore,20191,1,NA,"found 2 dead, wedged"
SP1,Solidago,Predator,20191,2,0,
SP2,Solidago,Predator,20191,0,0,Spotting large Phid johnsoni. Escaped before I could remove. GOT HIM
SP3,Solidago,Predator,20191,2,1,
SP4,Solidago,Predator,20191,2,1,"Found, patched holes"
SP5,Solidago,Predator,20191,1,0,"Hole found, patched"
SP6,Solidago,Predator,20191,3,0,
SP7,Solidago,Predator,20191,1,1,"1 found dead, wedged"
AH1,Artemisia,Herbivore,20197,2,NA,"1 dead, wedged"
AH2,Artemisia,Herbivore,20197,3,NA,
AH3,Artemisia,Herbivore,20197,0,NA,Large hole found
AH4,Artemisia,Herbivore,20197,1,NA,
AH5,Artemisia,Herbivore,20197,2,NA,
AH6,Artemisia,Herbivore,20197,1,NA,"Found 1 dead, wedged"
AH7,Artemisia,Herbivore,20197,2,NA,
AP1,Artemisia,Predator,20197,2,0,
AP2,Artemisia,Predator,20197,2,1,
AP3,Artemisia,Predator,20197,3,0,
AP4,Artemisia,Predator,20197,2,0,
AP5,Artemisia,Predator,20197,3,0,Patched hole
AP6,Artemisia,Predator,20197,2,0,patched holes
AP7,Artemisia,Predator,20197,2,0,
MH1,Mixed,Herbivore,20197,2,NA,
MH2,Mixed,Herbivore,20197,3,NA,
MH3,Mixed,Herbivore,20197,2,NA,patched holes
MH4,Mixed,Herbivore,20197,2,NA,"1 dead, wedged"
MH5,Mixed,Herbivore,20197,1,0,"1 dead, wedged"
MH6,Mixed,Herbivore,20197,2,NA,"Hole found, patched"
MH7,Mixed,Herbivore,20197,2,NA,
MP1,Mixed,Predator,20197,1,0,"Small wolf spider, couldn't get it out; got it!"
MP2,Mixed,Predator,20197,3,0,patched holes
MP3,Mixed,Predator,20197,2,1,
MP4,Mixed,Predator,20197,3,0,"Found 1 dead, wedged"
MP5,Mixed,Predator,20197,1,1,patched holes
MP6,Mixed,Predator,20197,4,0,1 extra PIMI in this benchtop 
MP7,Mixed,Predator,20197,2,1,
SH1,Solidago,Herbivore,20197,1,NA,
SH2,Solidago,Herbivore,20197,3,NA,
SH3,Solidago,Herbivore,20197,2,NA,
SH4,Solidago,Herbivore,20197,2,NA,
SH5,Solidago,Herbivore,20197,1,NA,
SH6,Solidago,Herbivore,20197,1,NA,
SH7,Solidago,Herbivore,20197,0,NA,Patched very large holes
SP1,Solidago,Predator,20197,3,0,
SP2,Solidago,Predator,20197,2,0,"Found 1 dead, wedged"
SP3,Solidago,Predator,20197,2,0,
SP4,Solidago,Predator,20197,1,0,"1 dead, wedged. Hole found and patched"
SP5,Solidago,Predator,20197,2,0,
SP6,Solidago,Predator,20197,2,1,
SP7,Solidago,Predator,20197,1,0,Holes patched
AH1,Artemisia,Herbivore,20204,2,NA,
AH2,Artemisia,Herbivore,20204,3,NA,
AH3,Artemisia,Herbivore,20204,3,NA,
AH4,Artemisia,Herbivore,20204,1,NA,
AH5,Artemisia,Herbivore,20204,3,NA,
AH6,Artemisia,Herbivore,20204,2,NA,
AH7,Artemisia,Herbivore,20204,3,NA,
AP1,Artemisia,Predator,20204,2,0,
AP2,Artemisia,Predator,20204,3,1,"PIMI found, was not spotted during HDs"
AP3,Artemisia,Predator,20204,3,1,
AP4,Artemisia,Predator,20204,3,0,"Did not restock PIMI, it was seen during the HDs"
AP5,Artemisia,Predator,20204,4,1,Removed extra MEFE
AP6,Artemisia,Predator,20204,2,1,"PIMI found, was not spotted during HDs"
AP7,Artemisia,Predator,20204,3,1,"PIMI found, was not spotted during HDs"
MH1,Mixed,Herbivore,20204,4,NA,Removed 1 MEFE
MH2,Mixed,Herbivore,20204,3,NA,
MH3,Mixed,Herbivore,20204,2,NA,
MH4,Mixed,Herbivore,20204,3,NA,
MH5,Mixed,Herbivore,20204,2,NA,
MH6,Mixed,Herbivore,20204,3,NA,
MH7,Mixed,Herbivore,20204,3,NA,
MP1,Mixed,Predator,20204,1,0,
MP2,Mixed,Predator,20204,3,1,
MP3,Mixed,Predator,20204,2,1,"PIMI found, was not spotted during HDs"
MP4,Mixed,Predator,20204,2,1,
MP5,Mixed,Predator,20204,1,1,
MP6,Mixed,Predator,20204,2,2,
MP7,Mixed,Predator,20204,2,1,"PIMI found, was not spotted during HDs"
SH1,Solidago,Herbivore,20204,3,NA,
SH2,Solidago,Herbivore,20204,3,NA,
SH3,Solidago,Herbivore,20204,3,NA,
SH4,Solidago,Herbivore,20204,3,NA,
SH5,Solidago,Herbivore,20204,3,NA,
SH6,Solidago,Herbivore,20204,3,NA,
SH7,Solidago,Herbivore,20204,3,NA,
SP1,Solidago,Predator,20204,3,2,
SP2,Solidago,Predator,20204,2,1,PIMI eating a jumping spider 
SP3,Solidago,Predator,20204,3,0,"Did not restock PIMI, it was seen during the HDs"
SP4,Solidago,Predator,20204,3,1,
SP5,Solidago,Predator,20204,3,1,
SP6,Solidago,Predator,20204,3,0,"PIMI not found during HDs, was restocked"
SP7,Solidago,Predator,20204,3,1,
AH1,Artemisia,Herbivore,20209,2,NA,
AH2,Artemisia,Herbivore,20209,3,NA,
AH3,Artemisia,Herbivore,20209,3,NA,
AH4,Artemisia,Herbivore,20209,3,NA,
AH5,Artemisia,Herbivore,20209,3,NA,
AH6,Artemisia,Herbivore,20209,3,NA,
AH7,Artemisia,Herbivore,20209,3,NA,
AP1,Artemisia,Predator,20209,2,Not_seen,
AP2,Artemisia,Predator,20209,1,0,"Found hole, should restock whole cage"
AP3,Artemisia,Predator,20209,2,Not_seen,
AP4,Artemisia,Predator,20209,2,Not_seen,
AP5,Artemisia,Predator,20209,3,2,
AP6,Artemisia,Predator,20209,3,Not_seen,
