Cage,Vegetation,Treatment,Block,Total plant cover,GA cover,Grass N,Grass C,Grass C:N,Forb N,Forb C,Forb C:N,Gold N,Gold C,Gold C:N,Mug N,Mug C,Mug C:N,Soil N,Soil C,Soil C:N
1,Goldenrod,Control,A,89,20,1.4,44.7,31.8,2,42.2,21.2,1.4,47.7,33.6,,,,0.4,6.1,15.4
2,Goldenrod,Herbivore,A,88,50,1.5,44.2,28.9,1.9,43.5,22.3,1.7,46.2,27.2,,,,0.4,5.7,14.9
3,Goldenrod,Predator,A,100,30,1.8,43.6,24.9,2.7,41.4,15.4,1.6,47.5,29.5,,,,0.3,5.5,21.4
4,Mugwort,Control,B,92,35,1.4,43.7,30.9,2.2,43.7,19.4,,,,1.6,47.1,30,0.3,5.2,15.6
5,Mugwort,Herbivore,B,100,25,1.7,43.6,25.3,2.7,40.9,15.4,,,,1.9,46.1,24.4,0.3,4.9,14.4
6,Mugwort,Predator,B,101,40,1.4,43.3,31.9,1.7,40.1,23.2,1.5,44.4,29.7,1.8,45.9,25.8,0.3,3.7,14.7
7,Goldenrod and Mugwort,Control,C,45,40,1.6,44.8,27.8,1.6,43.2,26.4,1.4,47,33.4,1.2,46.7,37.4,0.4,6.3,16.7
8,Goldenrod and Mugwort,Herbivore,C,48,45,1.5,37.7,25.5,1.6,47.7,29.7,1.4,46.4,32.2,1,45.8,44.1,0.3,4.8,15.6
9,Goldenrod and Mugwort,Predator,C,68,45,1.1,42.5,37,1.9,41.9,21.6,1.9,44.9,23.9,1.5,45.5,30.3,0.3,3.9,14.2
10,Mugwort,Control,D,96,15,1.4,44.4,32.5,1.6,40.2,25.1,,,,1.6,46.4,29.4,0.3,3.2,11.3
11,Mugwort,Herbivore,D,99,40,1.2,43.8,35.1,1.4,42,29.3,,,,1.4,46.2,32.9,0.3,3.4,12.7
12,Mugwort,Predator,D,90,30,1.7,43.6,26.2,2.1,42.5,20.4,,,,1.6,47.2,29.5,0.3,3.4,12.7
13,Goldenrod,Control,E,76,30,1.6,45.3,28.5,1.6,46.1,29.5,1.7,47.6,27.2,,,,0.3,3.6,14.2
14,Goldenrod,Herbivore,E,60,30,1.8,46.4,25.4,2,43.5,21.3,1.5,45.1,29.7,,,,0.2,3.4,15.1
15,Goldenrod,Predator,E,105,25,1.5,45.7,29.7,2,43.9,22.1,1.8,47.7,26.5,,,,0.2,2.9,15.3
16,Goldenrod,Control,F,80,25,1.8,45.5,25.3,1.7,44.3,26.3,2.7,47.3,17.7,,,,0.3,4.5,15.1
17,Goldenrod,Herbivore,F,65,25,1.8,45.5,24.7,1.6,45.5,27.7,2.2,46.4,21.2,,,,0.3,4.5,13.5
18,Goldenrod,Predator,F,50,30,1.5,44.4,29.9,3.4,69.4,20.5,1.6,45.5,27.8,,,,0.2,3.4,13.9
19,Mugwort,Control,G,80,30,2,42,20.7,2.8,42.7,15.1,,,,1.9,45,23.1,0.4,7,19.5
20,Mugwort,Herbivore,G,80,50,,,,2.4,40.5,17.2,,,,1.9,44,23.6,0.5,8.3,16.5
21,Mugwort,Predator,G,41,25,,,,3,67.9,22.7,,,,2.2,45.2,21,0.4,7.5,20.4
